sub,chunk,run_type
01,45.0,leave_01_out
02,73.0,leave_01_out
02,28.0,leave_02_out
02,36.0,leave_02_out
02,68.0,leave_02_out
02,74.0,leave_03_out
02,38.0,leave_04_out
02,40.0,leave_04_out
02,82.0,leave_04_out
02,34.0,leave_05_out
02,50.0,leave_05_out
02,52.0,leave_05_out
04,8.0,leave_01_out
04,25.0,leave_01_out
04,26.0,leave_02_out
04,18.0,leave_04_out
04,61.0,leave_04_out
04,5.0,leave_05_out
04,22.0,leave_05_out
04,56.0,leave_05_out
04,63.0,leave_05_out
04,66.0,leave_05_out
04,83.0,leave_05_out
08,16.0,leave_01_out
08,42.0,leave_01_out
08,49.0,leave_01_out
08,60.0,leave_01_out
08,70.0,leave_01_out
08,75.0,leave_01_out
08,76.0,leave_01_out
08,77.0,leave_01_out
08,10.0,leave_02_out
08,54.0,leave_02_out
08,56.0,leave_02_out
